State,Year,quarter,state_total_pop,state_emp_total,state_hires_total,state_avg_earnings,econ_emp_per_1k,econ_hires_per_1k,econ_hire_rate,growth_emp_qoq,growth_earn_qoq,growth_emp_yoy,STATE_# Alcohol-Impaired Driving Deaths,STATE_# Driving Deaths,STATE_Premature Deaths,STATE_% Adults with Obesity,STATE_% Children in Poverty,STATE_% Children in Single-Parent Households,STATE_% Drive Alone to Work,STATE_% Excessive Drinking,STATE_% Fair or Poor Health,STATE_% Long Commute - Drives Alone,STATE_% Low Birthweight,STATE_% Severe Housing Problems,STATE_% Smokers,STATE_% Some College,STATE_% Unemployed,STATE_% Uninsured,STATE_% With Access to Exercise Opportunities,STATE_Food Environment Index,STATE_Income Ratio,STATE_Mentally Unhealthy Days,STATE_Physically Unhealthy Days,STATE_Preventable Hospitalization Rate,STATE_Primary Care Physicians Rate,STATE_Social Association Rate,STATE_Teen Birth Rate,STATE_Violent Crime Rate
Alabama,2014,1,4843737,1484428,234866,3183.49299,306.4633773,48.48859465,0.158219867,,,,1273,4438,70721,32.9504565,27.50248273,37.2470823,84.21563196,11.52472919,20.22333595,31.99968855,10.31934221,14.75307984,21.68218448,57.19581615,7.37854957,16.60950286,51.93523883,6.932836085,0,4.254047381,4.28923577,0,62.13299149,0,48.18684317,410.7453018
Alabama,2014,2,4843737,1488384,296168,3186.477239,307.2801021,61.14452539,0.198986283,0.002665,0.000937413,,1273,4438,70721,32.9504565,27.50248273,37.2470823,84.21563196,11.52472919,20.22333595,31.99968855,10.31934221,14.75307984,21.68218448,57.19581615,7.37854957,16.60950286,51.93523883,6.932836085,0,4.254047381,4.28923577,0,62.13299149,0,48.18684317,410.7453018
Alabama,2014,3,4843737,1510987,292385,3158.744593,311.9465405,60.36351685,0.193505967,0.015186269,-0.008703231,,1273,4438,70721,32.9504565,27.50248273,37.2470823,84.21563196,11.52472919,20.22333595,31.99968855,10.31934221,14.75307984,21.68218448,57.19581615,7.37854957,16.60950286,51.93523883,6.932836085,0,4.254047381,4.28923577,0,62.13299149,0,48.18684317,410.7453018
Alabama,2014,4,4843737,1509475,273242,3383.957254,311.6343848,56.41140301,0.181017904,-0.00100067,0.071298155,,1273,4438,70721,32.9504565,27.50248273,37.2470823,84.21563196,11.52472919,20.22333595,31.99968855,10.31934221,14.75307984,21.68218448,57.19581615,7.37854957,16.60950286,51.93523883,6.932836085,0,4.254047381,4.28923577,0,62.13299149,0,48.18684317,410.7453018
Alabama,2015,1,4854803,1510048,246062,3224.297608,311.0420752,50.68423992,0.162949787,0.000379602,-0.047181343,0.017259173,1204,4321,72385,33.16751483,27.35735916,38.08914064,84.90991047,11.53870703,20.19976866,32.3965592,10.2171929,15.16919994,21.67350218,57.77065403,6.549347095,15.76538789,64.35565427,6.694086063,5.030240217,4.252503428,4.285822844,69.08895214,62.88313458,12.48355065,46.9685245,410.0931253
Alabama,2015,2,4854803,1514762,314609,3237.356,312.0130724,64.80365939,0.207695334,0.003121755,0.004049996,0.017722577,1204,4321,72385,33.16751483,27.35735916,38.08914064,84.90991047,11.53870703,20.19976866,32.3965592,10.2171929,15.16919994,21.67350218,57.77065403,6.549347095,15.76538789,64.35565427,6.694086063,5.030240217,4.252503428,4.285822844,69.08895214,62.88313458,12.48355065,46.9685245,410.0931253
Alabama,2015,3,4854803,1539862,306525,3211.861809,317.1832101,63.13850428,0.199060046,0.01657026,-0.007875004,0.019110025,1204,4321,72385,33.16751483,27.35735916,38.08914064,84.90991047,11.53870703,20.19976866,32.3965592,10.2171929,15.16919994,21.67350218,57.77065403,6.549347095,15.76538789,64.35565427,6.694086063,5.030240217,4.252503428,4.285822844,69.08895214,62.88313458,12.48355065,46.9685245,410.0931253
Alabama,2015,4,4854803,1538684,293817,3510.697919,316.9405638,60.52089034,0.190953438,-0.000765004,0.093041397,0.019350436,1204,4321,72385,33.16751483,27.35735916,38.08914064,84.90991047,11.53870703,20.19976866,32.3965592,10.2171929,15.16919994,21.67350218,57.77065403,6.549347095,15.76538789,64.35565427,6.694086063,5.030240217,4.252503428,4.285822844,69.08895214,62.88313458,12.48355065,46.9685245,410.0931253
Alabama,2016,1,4866824,1536793,265464,3234.249866,315.7691751,54.54563387,0.172738944,-0.001228972,-0.078744472,0.017711358,1274,4294,73929,33.5261194,27.31375143,38.20032909,85.26353025,13.9113926,21.04394507,32.77319467,10.14514229,15.36684348,19.6853847,58.15615001,6.872057355,15.8746651,63.14152871,6.630406421,5.064997252,4.613115083,4.642889285,63.23396779,63.92044772,12.49597649,44.56866648,409.6331017
Alabama,2016,2,4866824,1543768,328274,3298.885467,317.202348,67.45138102,0.212644646,0.004538672,0.019984727,0.019148883,1274,4294,73929,33.5261194,27.31375143,38.20032909,85.26353025,13.9113926,21.04394507,32.77319467,10.14514229,15.36684348,19.6853847,58.15615001,6.872057355,15.8746651,63.14152871,6.630406421,5.064997252,4.613115083,4.642889285,63.23396779,63.92044772,12.49597649,44.56866648,409.6331017
Alabama,2016,3,4866824,1563200,329630,3374.366602,321.1950956,67.73000215,0.210868731,0.012587384,0.022880799,0.015155904,1274,4294,73929,33.5261194,27.31375143,38.20032909,85.26353025,13.9113926,21.04394507,32.77319467,10.14514229,15.36684348,19.6853847,58.15615001,6.872057355,15.8746651,63.14152871,6.630406421,5.064997252,4.613115083,4.642889285,63.23396779,63.92044772,12.49597649,44.56866648,409.6331017
Alabama,2016,4,4866824,1558607,292757,3425.616694,320.251359,60.15360325,0.187832468,-0.002938204,0.015188063,0.012948078,1274,4294,73929,33.5261194,27.31375143,38.20032909,85.26353025,13.9113926,21.04394507,32.77319467,10.14514229,15.36684348,19.6853847,58.15615001,6.872057355,15.8746651,63.14152871,6.630406421,5.064997252,4.613115083,4.642889285,63.23396779,63.92044772,12.49597649,44.56866648,409.6331017
Alabama,2017,1,4877989,1554275,284287,3409.475286,318.6302798,58.27954922,0.1829065,-0.002779405,-0.004711972,0.011375637,1260,4281,75262,33.96644742,26.45038937,38.01197776,85.42598286,13.86861474,20.00208922,33.11759522,10.09354919,15.40968629,19.35175409,58.79193393,6.158677841,14.16871847,0,6.505342345,5.082714292,4.346475011,4.317696188,59.03098674,64.6021089,12.41110588,41.75970139,430.8814225
Alabama,2017,2,4877989,1561530,335661,3345.958275,320.117573,68.81134828,0.214956485,0.004667771,-0.018629556,0.011505615,1260,4281,75262,33.96644742,26.45038937,38.01197776,85.42598286,13.86861474,20.00208922,33.11759522,10.09354919,15.40968629,19.35175409,58.79193393,6.158677841,14.16871847,0,6.505342345,5.082714292,4.346475011,4.317696188,59.03098674,64.6021089,12.41110588,41.75970139,430.8814225
Alabama,2017,3,4877989,1580544,327963,3308.072401,324.0154908,67.23323894,0.207500076,0.012176519,-0.011322877,0.011095189,1260,4281,75262,33.96644742,26.45038937,38.01197776,85.42598286,13.86861474,20.00208922,33.11759522,10.09354919,15.40968629,19.35175409,58.79193393,6.158677841,14.16871847,0,6.505342345,5.082714292,4.346475011,4.317696188,59.03098674,64.6021089,12.41110588,41.75970139,430.8814225
Alabama,2017,4,4877989,1576768,308676,3523.731508,323.2414013,63.27935549,0.195765008,-0.002389051,0.065191774,0.011652071,1260,4281,75262,33.96644742,26.45038937,38.01197776,85.42598286,13.86861474,20.00208922,33.11759522,10.09354919,15.40968629,19.35175409,58.79193393,6.158677841,14.16871847,0,6.505342345,5.082714292,4.346475011,4.317696188,59.03098674,64.6021089,12.41110588,41.75970139,430.8814225
